,EmployeeNo,Promoted_or_Not
171,YAK/S/00601,1
172,YAK/S/00602,1
173,YAK/S/00609,1
174,YAK/S/00611,1
175,YAK/S/00618,1
176,YAK/S/00629,1
177,YAK/S/00630,1
178,YAK/S/00637,1
179,YAK/S/00638,1
180,YAK/S/00640,1
181,YAK/S/00644,1
182,YAK/S/00648,1
183,YAK/S/00649,1
184,YAK/S/00652,1
185,YAK/S/00654,1
186,YAK/S/00656,1
187,YAK/S/00657,1
188,YAK/S/00658,1
189,YAK/S/00659,1
190,YAK/S/00663,1
191,YAK/S/00667,1
192,YAK/S/00668,1
193,YAK/S/00669,1
194,YAK/S/00671,1
195,YAK/S/00674,1
196,YAK/S/00675,1
197,YAK/S/00678,1
198,YAK/S/00681,1
199,YAK/S/00685,1
200,YAK/S/00686,1
201,YAK/S/00687,1
202,YAK/S/00699,1
203,YAK/S/00700,1
204,YAK/S/00704,1
205,YAK/S/00705,1
206,YAK/S/00707,1
207,YAK/S/00708,1
208,YAK/S/00710,1
209,YAK/S/00713,1
210,YAK/S/00714,1
211,YAK/S/00715,1
212,YAK/S/00719,1
213,YAK/S/00721,1
214,YAK/S/00722,1
215,YAK/S/00723,1
216,YAK/S/00726,1
217,YAK/S/00733,1
218,YAK/S/00736,1
219,YAK/S/00739,1
220,YAK/S/00742,1
221,YAK/S/00748,1
222,YAK/S/00751,1
223,YAK/S/00754,1
224,YAK/S/00762,1
225,YAK/S/00763,1
226,YAK/S/00767,1
227,YAK/S/00768,1
228,YAK/S/00769,1
229,YAK/S/00772,1
230,YAK/S/00774,1
231,YAK/S/00780,1
232,YAK/S/00784,1
233,YAK/S/00786,1
234,YAK/S/00791,1
235,YAK/S/00807,1
236,YAK/S/00809,1
237,YAK/S/00813,1
238,YAK/S/00815,1
239,YAK/S/00816,1
240,YAK/S/00821,1
241,YAK/S/00826,1
242,YAK/S/00829,1
243,YAK/S/00832,1
244,YAK/S/00839,1
245,YAK/S/00842,1
246,YAK/S/00843,1
247,YAK/S/00849,1
248,YAK/S/00850,1
249,YAK/S/00851,1
250,YAK/S/00853,1
251,YAK/S/00855,1
252,YAK/S/00859,1
253,YAK/S/00860,1
254,YAK/S/00864,1
255,YAK/S/00867,1
256,YAK/S/00869,1
257,YAK/S/00877,1
258,YAK/S/00879,1
259,YAK/S/00883,1
260,YAK/S/00897,1
261,YAK/S/00902,1
262,YAK/S/00905,1
263,YAK/S/00907,1
264,YAK/S/00908,1
265,YAK/S/00911,1
266,YAK/S/00913,1
267,YAK/S/00915,1
268,YAK/S/00920,1
269,YAK/S/00921,1
270,YAK/S/00923,1
271,YAK/S/00925,1
272,YAK/S/00927,1
273,YAK/S/00928,1
274,YAK/S/00932,1
275,YAK/S/00942,1
276,YAK/S/00945,1
277,YAK/S/00953,1
278,YAK/S/00959,1
279,YAK/S/00963,1
280,YAK/S/00964,1
281,YAK/S/00978,1
282,YAK/S/00980,1
283,YAK/S/00981,1
284,YAK/S/00982,1
285,YAK/S/00988,1
286,YAK/S/00996,1
287,YAK/S/01001,1
288,YAK/S/01007,1
289,YAK/S/01009,1
290,YAK/S/01013,1
291,YAK/S/01017,1
292,YAK/S/01019,1
293,YAK/S/01020,1
294,YAK/S/01023,1
295,YAK/S/01025,1
296,YAK/S/01026,1
297,YAK/S/01034,1
298,YAK/S/01038,1
299,YAK/S/01040,1
300,YAK/S/01041,1
301,YAK/S/01053,1
302,YAK/S/01054,1
303,YAK/S/01065,1
304,YAK/S/01071,1
305,YAK/S/01080,1
306,YAK/S/01081,1
307,YAK/S/01083,1
308,YAK/S/01084,1
309,YAK/S/01085,1
310,YAK/S/01090,1
311,YAK/S/01096,1
312,YAK/S/01101,1
313,YAK/S/01105,1
314,YAK/S/01108,1
315,YAK/S/01109,1
316,YAK/S/01113,1
317,YAK/S/01115,1
318,YAK/S/01117,1
319,YAK/S/01118,1
320,YAK/S/01120,1
321,YAK/S/01125,1
322,YAK/S/01126,1
323,YAK/S/01131,1
324,YAK/S/01134,1
325,YAK/S/01141,1
326,YAK/S/01143,1
327,YAK/S/01145,1
328,YAK/S/01148,1
329,YAK/S/01162,1
330,YAK/S/01164,1
331,YAK/S/01168,1
332,YAK/S/01175,1
333,YAK/S/01186,1
334,YAK/S/01188,1
335,YAK/S/01191,1
336,YAK/S/01192,1
337,YAK/S/01199,1
338,YAK/S/01201,1
339,YAK/S/01212,1
340,YAK/S/01215,1
341,YAK/S/01220,1
342,YAK/S/01224,1
343,YAK/S/01226,1
344,YAK/S/01231,1
345,YAK/S/01235,1
346,YAK/S/01238,1
347,YAK/S/01242,1
348,YAK/S/01243,1
349,YAK/S/01250,1
350,YAK/S/01252,1
351,YAK/S/01254,1
352,YAK/S/01256,1
353,YAK/S/01257,1
354,YAK/S/01258,1
355,YAK/S/01265,1
356,YAK/S/01266,1
357,YAK/S/01268,1
358,YAK/S/01270,1
359,YAK/S/01275,1
360,YAK/S/01276,1
361,YAK/S/01280,1
362,YAK/S/01285,1
363,YAK/S/01306,1
364,YAK/S/01307,1
365,YAK/S/01310,1
366,YAK/S/01311,1
367,YAK/S/01313,1
368,YAK/S/01321,1
369,YAK/S/01323,1
370,YAK/S/01324,1
371,YAK/S/01325,1
372,YAK/S/01333,1
373,YAK/S/01336,1
374,YAK/S/01344,1
375,YAK/S/01351,1
376,YAK/S/01352,1
377,YAK/S/01357,1
378,YAK/S/01358,1
379,YAK/S/01368,1
380,YAK/S/01370,1
381,YAK/S/01371,1
382,YAK/S/01373,1
383,YAK/S/01379,1
384,YAK/S/01381,1
385,YAK/S/01385,1
386,YAK/S/01388,1
387,YAK/S/01389,1
388,YAK/S/01394,1
389,YAK/S/01398,1
390,YAK/S/01404,1
391,YAK/S/01407,1
392,YAK/S/01415,1
393,YAK/S/01417,1
394,YAK/S/01429,1
395,YAK/S/01435,1
396,YAK/S/01437,1
397,YAK/S/01440,1
398,YAK/S/01446,1
399,YAK/S/01454,1
400,YAK/S/01459,1
401,YAK/S/01471,1
402,YAK/S/01473,1
403,YAK/S/01475,1
404,YAK/S/01480,1
405,YAK/S/01484,1
406,YAK/S/01486,1
407,YAK/S/01493,1
408,YAK/S/01497,1
409,YAK/S/01498,1
410,YAK/S/01502,1
411,YAK/S/01508,1
412,YAK/S/01509,1
413,YAK/S/01513,1
414,YAK/S/01514,1
415,YAK/S/01516,1
416,YAK/S/01518,1
417,YAK/S/01522,1
418,YAK/S/01532,1
419,YAK/S/01535,1
420,YAK/S/01549,1
421,YAK/S/01552,1
422,YAK/S/01556,1
423,YAK/S/01557,1
424,YAK/S/01560,1
425,YAK/S/01561,1
426,YAK/S/01562,1
427,YAK/S/01564,1
428,YAK/S/01567,1
429,YAK/S/01568,1
430,YAK/S/01574,1
431,YAK/S/01575,1
432,YAK/S/01576,1
433,YAK/S/01578,1
434,YAK/S/01579,1
435,YAK/S/01584,1
436,YAK/S/01585,1
437,YAK/S/01596,1
438,YAK/S/01599,1
439,YAK/S/01600,1
440,YAK/S/01613,1
441,YAK/S/01615,1
442,YAK/S/01617,1
443,YAK/S/01619,1
444,YAK/S/01624,1
445,YAK/S/01630,1
446,YAK/S/01640,1
447,YAK/S/01642,1
448,YAK/S/01643,1
449,YAK/S/01646,1
450,YAK/S/01647,1
451,YAK/S/01648,1
452,YAK/S/01650,1
453,YAK/S/01658,1
454,YAK/S/01661,1
455,YAK/S/01663,1
456,YAK/S/01664,1
457,YAK/S/01666,1
458,YAK/S/01669,1
459,YAK/S/01671,1
460,YAK/S/01672,1
461,YAK/S/01676,1
462,YAK/S/01680,1
463,YAK/S/01682,1
464,YAK/S/01690,1
465,YAK/S/01692,1
466,YAK/S/01694,1
467,YAK/S/01695,1
468,YAK/S/01696,1
469,YAK/S/01703,1
470,YAK/S/01705,1
471,YAK/S/01706,1
472,YAK/S/01708,1
473,YAK/S/01714,1
474,YAK/S/01716,1
475,YAK/S/01719,1
476,YAK/S/01724,1
477,YAK/S/01725,1
478,YAK/S/01726,1
479,YAK/S/01731,1
480,YAK/S/01734,1
481,YAK/S/01735,1
482,YAK/S/01741,1
483,YAK/S/01744,1
484,YAK/S/01746,1
485,YAK/S/01748,1
486,YAK/S/01751,1
487,YAK/S/01752,1
488,YAK/S/01757,1
489,YAK/S/01759,1
490,YAK/S/01761,1
491,YAK/S/01764,1
492,YAK/S/01776,1
493,YAK/S/01780,1
494,YAK/S/01786,1
495,YAK/S/01789,1
496,YAK/S/01792,1
497,YAK/S/01798,1
498,YAK/S/01800,1
499,YAK/S/01801,1
500,YAK/S/01803,1
501,YAK/S/01804,1
502,YAK/S/01806,1
503,YAK/S/01808,1
504,YAK/S/01809,1
505,YAK/S/01811,1
506,YAK/S/01812,1
507,YAK/S/01815,1
508,YAK/S/01816,1
509,YAK/S/01826,1
510,YAK/S/01845,1
511,YAK/S/01846,1
512,YAK/S/01847,1
513,YAK/S/01848,1
514,YAK/S/01852,1
515,YAK/S/01855,1
516,YAK/S/01860,1
517,YAK/S/01861,1
518,YAK/S/01866,1
519,YAK/S/01868,1
520,YAK/S/01873,1
521,YAK/S/01876,1
522,YAK/S/01881,1
523,YAK/S/01897,1
524,YAK/S/01901,1
525,YAK/S/01902,1
526,YAK/S/01912,1
527,YAK/S/01919,1
528,YAK/S/01925,1
529,YAK/S/01926,1
530,YAK/S/01928,1
531,YAK/S/01933,1
532,YAK/S/01935,1
533,YAK/S/01941,1
534,YAK/S/01946,1
535,YAK/S/01953,1
536,YAK/S/01954,1
537,YAK/S/01960,1
538,YAK/S/01961,1
539,YAK/S/01967,1
540,YAK/S/01969,1
541,YAK/S/01973,1
542,YAK/S/01975,1
543,YAK/S/01978,1
544,YAK/S/01980,1
545,YAK/S/01981,1
546,YAK/S/01982,1
547,YAK/S/01985,1
548,YAK/S/01987,1
549,YAK/S/01992,1
550,YAK/S/01998,1
551,YAK/S/02003,1
552,YAK/S/02009,1
553,YAK/S/02011,1
554,YAK/S/02013,1
555,YAK/S/02014,1
556,YAK/S/02015,1
557,YAK/S/02016,1
558,YAK/S/02019,1
559,YAK/S/02021,1
560,YAK/S/02026,1
561,YAK/S/02029,1
562,YAK/S/02032,1
563,YAK/S/02036,1
564,YAK/S/02040,1
565,YAK/S/02043,1
566,YAK/S/02046,1
567,YAK/S/02050,1
568,YAK/S/02052,1
569,YAK/S/02060,1
570,YAK/S/02062,1
571,YAK/S/02063,1
572,YAK/S/02067,1
573,YAK/S/02073,1
574,YAK/S/02074,1
575,YAK/S/02081,1
576,YAK/S/02085,1
577,YAK/S/02089,1
578,YAK/S/02091,1
579,YAK/S/02098,1
580,YAK/S/02100,1
581,YAK/S/02103,1
582,YAK/S/02108,1
583,YAK/S/02109,1
584,YAK/S/02113,1
585,YAK/S/02115,1
586,YAK/S/02116,1
587,YAK/S/02117,1
588,YAK/S/02118,1
589,YAK/S/02120,1
590,YAK/S/02123,1
591,YAK/S/02124,1
592,YAK/S/02125,1
593,YAK/S/02129,1
594,YAK/S/02134,1
595,YAK/S/02143,1
596,YAK/S/02149,1
597,YAK/S/02150,1
598,YAK/S/02151,1
599,YAK/S/02152,1
600,YAK/S/02153,1
601,YAK/S/02154,1
602,YAK/S/02155,1
603,YAK/S/02158,1
604,YAK/S/02160,1
605,YAK/S/02165,1
606,YAK/S/02166,1
607,YAK/S/02171,1
608,YAK/S/02172,1
609,YAK/S/02177,1
610,YAK/S/02180,1
611,YAK/S/02183,1
612,YAK/S/02187,1
613,YAK/S/02195,1
614,YAK/S/02199,1
615,YAK/S/02201,1
616,YAK/S/02203,1
617,YAK/S/02204,1
618,YAK/S/02209,1
619,YAK/S/02210,1
620,YAK/S/02211,1
621,YAK/S/02212,1
622,YAK/S/02213,1
623,YAK/S/02214,1
624,YAK/S/02215,1
625,YAK/S/02216,1
626,YAK/S/02217,1
627,YAK/S/02218,1
628,YAK/S/02221,1
629,YAK/S/02222,1
630,YAK/S/02227,1
631,YAK/S/02234,1
632,YAK/S/02244,1
633,YAK/S/02256,1
634,YAK/S/02258,1
635,YAK/S/02262,1
636,YAK/S/02263,1
637,YAK/S/02264,1
638,YAK/S/02266,1
639,YAK/S/02274,1
640,YAK/S/02276,1
641,YAK/S/02278,1
642,YAK/S/02279,1
643,YAK/S/02281,1
644,YAK/S/02282,1
645,YAK/S/02283,1
646,YAK/S/02284,1
647,YAK/S/02288,1
648,YAK/S/02290,1
649,YAK/S/02293,1
650,YAK/S/02302,1
651,YAK/S/02306,1
652,YAK/S/02313,1
653,YAK/S/02318,1
654,YAK/S/02320,1
655,YAK/S/02322,1
656,YAK/S/02323,1
657,YAK/S/02324,1
658,YAK/S/02327,1
659,YAK/S/02338,1
660,YAK/S/02343,1
661,YAK/S/02346,1
662,YAK/S/02349,1
663,YAK/S/02352,1
664,YAK/S/02354,1
665,YAK/S/02355,1
666,YAK/S/02357,1
667,YAK/S/02358,1
668,YAK/S/02361,1
669,YAK/S/02362,1
670,YAK/S/02368,1
671,YAK/S/02370,1
672,YAK/S/02374,1
673,YAK/S/02377,1
674,YAK/S/02381,1
675,YAK/S/02383,1
676,YAK/S/02384,1
677,YAK/S/02387,1
678,YAK/S/02391,1
679,YAK/S/02400,1
680,YAK/S/02402,1
681,YAK/S/02404,1
682,YAK/S/02405,1
683,YAK/S/02406,1
684,YAK/S/02408,1
685,YAK/S/02410,1
686,YAK/S/02417,1
687,YAK/S/02435,1
688,YAK/S/02437,1
689,YAK/S/02440,1
690,YAK/S/02442,1
691,YAK/S/02444,1
692,YAK/S/02448,1
693,YAK/S/02449,1
694,YAK/S/02454,1
695,YAK/S/02456,1
696,YAK/S/02457,1
697,YAK/S/02460,1
698,YAK/S/02467,1
699,YAK/S/02475,1
700,YAK/S/02480,1
701,YAK/S/02483,1
702,YAK/S/02485,1
703,YAK/S/02487,1
704,YAK/S/02490,1
705,YAK/S/02492,1
706,YAK/S/02494,1
707,YAK/S/02497,1
708,YAK/S/02498,1
709,YAK/S/02502,1
710,YAK/S/02503,1
711,YAK/S/02504,1
712,YAK/S/02508,1
713,YAK/S/02510,1
714,YAK/S/02518,1
715,YAK/S/02523,1
716,YAK/S/02524,1
717,YAK/S/02531,1
718,YAK/S/02535,1
719,YAK/S/02536,1
720,YAK/S/02541,1
721,YAK/S/02544,1
722,YAK/S/02554,1
723,YAK/S/02555,1
724,YAK/S/02556,1
725,YAK/S/02560,1
726,YAK/S/02565,1
727,YAK/S/02572,1
728,YAK/S/02577,1
729,YAK/S/02588,1
730,YAK/S/02589,1
731,YAK/S/02590,1
732,YAK/S/02591,1
733,YAK/S/02593,1
734,YAK/S/02604,1
735,YAK/S/02605,1
736,YAK/S/02610,1
737,YAK/S/02615,1
738,YAK/S/02616,1
739,YAK/S/02619,1
740,YAK/S/02626,1
741,YAK/S/02631,1
742,YAK/S/02633,1
743,YAK/S/02636,1
744,YAK/S/02638,1
745,YAK/S/02639,1
746,YAK/S/02640,1
747,YAK/S/02642,1
748,YAK/S/02643,1
749,YAK/S/02645,1
750,YAK/S/02646,1
751,YAK/S/02649,1
752,YAK/S/02652,1
753,YAK/S/02655,1
754,YAK/S/02658,1
755,YAK/S/02660,1
756,YAK/S/02661,1
757,YAK/S/02662,1
758,YAK/S/02668,1
759,YAK/S/02669,1
760,YAK/S/02670,1
761,YAK/S/02671,1
762,YAK/S/02675,1
763,YAK/S/02681,1
764,YAK/S/02688,1
765,YAK/S/02693,1
766,YAK/S/02701,1
767,YAK/S/02702,1
768,YAK/S/02724,1
769,YAK/S/02726,1
770,YAK/S/02734,1
771,YAK/S/02739,1
772,YAK/S/02746,1
773,YAK/S/02752,1
774,YAK/S/02754,1
775,YAK/S/02757,1
776,YAK/S/02760,1
777,YAK/S/02761,1
778,YAK/S/02763,1
779,YAK/S/02770,1
780,YAK/S/02771,1
781,YAK/S/02772,1
782,YAK/S/02773,1
783,YAK/S/02776,1
784,YAK/S/02780,1
785,YAK/S/02781,1
786,YAK/S/02782,1
787,YAK/S/02787,1
788,YAK/S/02794,1
789,YAK/S/02796,1
790,YAK/S/02798,1
791,YAK/S/02812,1
792,YAK/S/02816,1
793,YAK/S/02820,1
794,YAK/S/02821,1
795,YAK/S/02825,1
796,YAK/S/02827,1
797,YAK/S/02829,1
798,YAK/S/02831,1
799,YAK/S/02832,1
800,YAK/S/02833,1
801,YAK/S/02837,1
802,YAK/S/02840,1
803,YAK/S/02842,1
804,YAK/S/02844,1
805,YAK/S/02845,1
806,YAK/S/02848,1
807,YAK/S/02855,1
808,YAK/S/02856,1
809,YAK/S/02860,1
810,YAK/S/02864,1
811,YAK/S/02867,1
812,YAK/S/02870,1
813,YAK/S/02871,1
814,YAK/S/02873,1
815,YAK/S/02874,1
816,YAK/S/02877,1
817,YAK/S/02880,1
818,YAK/S/02886,1
819,YAK/S/02898,1
820,YAK/S/02900,1
821,YAK/S/02905,1
822,YAK/S/02907,1
823,YAK/S/02911,1
824,YAK/S/02919,1
825,YAK/S/02924,1
826,YAK/S/02928,1
827,YAK/S/02929,1
828,YAK/S/02932,1
829,YAK/S/02938,1
830,YAK/S/02945,1
831,YAK/S/02947,1
832,YAK/S/02953,1
833,YAK/S/02955,1
834,YAK/S/02957,1
835,YAK/S/02963,1
836,YAK/S/02965,1
837,YAK/S/02969,1
838,YAK/S/02971,1
839,YAK/S/02977,1
840,YAK/S/02979,1
841,YAK/S/02980,1
842,YAK/S/02981,1
843,YAK/S/02984,1
844,YAK/S/02991,1
845,YAK/S/02993,1
846,YAK/S/03006,1
847,YAK/S/03013,1
848,YAK/S/03023,1
849,YAK/S/03037,1
850,YAK/S/03039,1
851,YAK/S/03044,1
852,YAK/S/03048,1
853,YAK/S/03063,1
854,YAK/S/03066,1
855,YAK/S/03067,1
856,YAK/S/03069,1
857,YAK/S/03070,1
858,YAK/S/03073,1
859,YAK/S/03075,1
860,YAK/S/03076,1
861,YAK/S/03080,1
862,YAK/S/03081,1
863,YAK/S/03082,1
864,YAK/S/03085,1
865,YAK/S/03093,1
866,YAK/S/03097,1
867,YAK/S/03098,1
868,YAK/S/03104,1
869,YAK/S/03109,1
870,YAK/S/03118,1
871,YAK/S/03120,1
872,YAK/S/03121,1
873,YAK/S/03127,1
874,YAK/S/03130,1
875,YAK/S/03131,1
876,YAK/S/03133,1
877,YAK/S/03134,1
878,YAK/S/03140,1
879,YAK/S/03142,1
880,YAK/S/03146,1
881,YAK/S/03148,1
882,YAK/S/03149,1
883,YAK/S/03155,1
884,YAK/S/03158,1
885,YAK/S/03159,1
886,YAK/S/03161,1
887,YAK/S/03165,1
888,YAK/S/03166,1
889,YAK/S/03169,1
890,YAK/S/03175,1
891,YAK/S/03179,1
892,YAK/S/03180,1
893,YAK/S/03181,1
894,YAK/S/03184,1
895,YAK/S/03186,1
896,YAK/S/03187,1
897,YAK/S/03191,1
898,YAK/S/03192,1
899,YAK/S/03194,1
900,YAK/S/03198,1
901,YAK/S/03199,1
902,YAK/S/03201,1
903,YAK/S/03202,1
904,YAK/S/03205,1
905,YAK/S/03212,1
906,YAK/S/03213,1
907,YAK/S/03219,1
908,YAK/S/03222,1
909,YAK/S/03224,1
910,YAK/S/03225,1
911,YAK/S/03228,1
912,YAK/S/03230,1
913,YAK/S/03234,1
914,YAK/S/03237,1
915,YAK/S/03241,1
916,YAK/S/03242,1
917,YAK/S/03244,1
918,YAK/S/03245,1
919,YAK/S/03246,1
920,YAK/S/03247,1
921,YAK/S/03253,1
922,YAK/S/03254,1
923,YAK/S/03260,1
924,YAK/S/03264,1
925,YAK/S/03272,1
926,YAK/S/03275,1
927,YAK/S/03278,1
928,YAK/S/03280,1
929,YAK/S/03281,1
930,YAK/S/03284,1
931,YAK/S/03285,1
932,YAK/S/03286,1
933,YAK/S/03287,1
934,YAK/S/03291,1
935,YAK/S/03294,1
936,YAK/S/03313,1
937,YAK/S/03315,1
938,YAK/S/03318,1
939,YAK/S/03319,1
940,YAK/S/03333,1
941,YAK/S/03334,1
942,YAK/S/03335,1
943,YAK/S/03338,1
944,YAK/S/03340,1
945,YAK/S/03344,1
946,YAK/S/03345,1
947,YAK/S/03346,1
948,YAK/S/03352,1
949,YAK/S/03354,1
950,YAK/S/03356,1
951,YAK/S/03359,1
952,YAK/S/03361,1
953,YAK/S/03364,1
954,YAK/S/03367,1
955,YAK/S/03374,1
956,YAK/S/03382,1
957,YAK/S/03384,1
958,YAK/S/03385,1
959,YAK/S/03389,1
960,YAK/S/03393,1
961,YAK/S/03395,1
962,YAK/S/03406,1
963,YAK/S/03407,1
964,YAK/S/03408,1
965,YAK/S/03422,1
966,YAK/S/03423,1
967,YAK/S/03427,1
968,YAK/S/03429,1
969,YAK/S/03435,1
970,YAK/S/03437,1
971,YAK/S/03452,1
972,YAK/S/03453,1
973,YAK/S/03456,1
974,YAK/S/03457,1
975,YAK/S/03458,1
976,YAK/S/03460,1
977,YAK/S/03468,1
978,YAK/S/03469,1
979,YAK/S/03471,1
980,YAK/S/03477,1
981,YAK/S/03480,1
982,YAK/S/03483,1
983,YAK/S/03489,1
984,YAK/S/03490,1
985,YAK/S/03492,1
986,YAK/S/03495,1
987,YAK/S/03500,1
988,YAK/S/03508,1
989,YAK/S/03516,1
990,YAK/S/03518,1
991,YAK/S/03519,1
992,YAK/S/03520,1
993,YAK/S/03534,1
994,YAK/S/03535,1
995,YAK/S/03539,1
996,YAK/S/03542,1
997,YAK/S/03550,1
998,YAK/S/03552,1
999,YAK/S/03553,1
1000,YAK/S/03560,1
1001,YAK/S/03562,1
1002,YAK/S/03565,1
1003,YAK/S/03567,1
1004,YAK/S/03579,1
1005,YAK/S/03583,1
1006,YAK/S/03585,1
1007,YAK/S/03587,1
1008,YAK/S/03592,1
1009,YAK/S/03599,1
1010,YAK/S/03602,1
1011,YAK/S/03603,1
1012,YAK/S/03605,1
1013,YAK/S/03610,1
1014,YAK/S/03611,1
1015,YAK/S/03612,1
1016,YAK/S/03620,1
1017,YAK/S/03622,1
1018,YAK/S/03623,1
1019,YAK/S/03628,1
1020,YAK/S/03631,1
1021,YAK/S/03634,1
1022,YAK/S/03635,1
1023,YAK/S/03638,1
1024,YAK/S/03642,1
1025,YAK/S/03643,1
1026,YAK/S/03644,1
1027,YAK/S/03646,1
1028,YAK/S/03647,1
1029,YAK/S/03652,1
1030,YAK/S/03658,1
1031,YAK/S/03660,1
1032,YAK/S/03661,1
1033,YAK/S/03664,1
1034,YAK/S/03666,1
1035,YAK/S/03673,1
1036,YAK/S/03674,1
1037,YAK/S/03675,1
1038,YAK/S/03676,1
1039,YAK/S/03677,1
1040,YAK/S/03679,1
1041,YAK/S/03682,1
1042,YAK/S/03684,1
1043,YAK/S/03688,1
1044,YAK/S/03690,1
1045,YAK/S/03692,1
1046,YAK/S/03694,1
1047,YAK/S/03696,1
1048,YAK/S/03699,1
1049,YAK/S/03704,1
1050,YAK/S/03707,1
1051,YAK/S/03715,1
1052,YAK/S/03716,1
1053,YAK/S/03725,1
1054,YAK/S/03726,1
1055,YAK/S/03729,1
1056,YAK/S/03734,1
1057,YAK/S/03736,1
1058,YAK/S/03740,1
1059,YAK/S/03747,1
1060,YAK/S/03751,1
1061,YAK/S/03753,1
1062,YAK/S/03754,1
1063,YAK/S/03758,1
1064,YAK/S/03763,1
1065,YAK/S/03764,1
1066,YAK/S/03765,1
1067,YAK/S/03766,1
